"","year","age","gender","race","education"
"27181","1984","2. 25 - 34","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27182","1984","5. 55 - 64","2. Female","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27183","1984","1. 17 - 24","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27184","1984","6. 65 - 74","2. Female","2. Black non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27185","1984","6. 65 - 74","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27186","1984","2. 25 - 34","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27187","1984","4. 45 - 54","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27189","1984","3. 35 - 44","1. Male","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27190","1984","4. 45 - 54","2. Female","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27191","1984","1. 17 - 24","2. Female","1. White non-Hispanic","2. High school (12 grades or fewer, incl. non-college"
"27192","1984","3. 35 - 44","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27193","1984","2. 25 - 34","1. Male","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27194","1984","2. 25 - 34","2. Female","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27195","1984","6. 65 - 74","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27196","1984","6. 65 - 74","2. Female","1. White non-Hispanic","1. Grade school or less (0-8 grades)"
"27197","1984","3. 35 - 44","1. Male","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
"27198","1984","1. 17 - 24","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27199","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27200","1984","2. 25 - 34","1. Male","1. White non-Hispanic","3. Some college (13 grades or more but no degree;"
"27201","1984","7. 75 - 99 and over (except 1954)","2. Female","1. White non-Hispanic","4. College or advanced degree (no cases 1948)"
